case_no,checking_account,credit_history,purpose,credit_amount,savings,employment_duration,gender_status,age,job,risk
988,,existing paid,radio/tv,1409,100<=X<500,unemployed,female div/dep/mar,64,skilled,good
989,,existing paid,used car,6579,<100,unemployed,male single,29,high qualify/self emp/mgm,good
990,,critical/other existing credit,radio/tv,1743,<100,>=7,male single,48,unskilled resident,good
991,,critical/other existing credit,education,3565,no known savings,<1,male single,37,unskilled resident,good
992,,all paid,radio/tv,1569,100<=X<500,>=7,male single,34,unskilled resident,good
993,,existing paid,radio/tv,1936,no known savings,4<=X<7,male mar/wid,23,unskilled resident,good
994,,existing paid,furniture/equipment,3959,<100,unemployed,male single,30,high qualify/self emp/mgm,good
995,,existing paid,new car,2390,no known savings,>=7,male single,50,skilled,good
996,,existing paid,furniture/equipment,1736,<100,4<=X<7,female div/dep/mar,31,unskilled resident,good
997,,existing paid,used car,3857,<100,1<=X<4,male div/sep,40,high qualify/self emp/mgm,good
998,,existing paid,radio/tv,804,<100,>=7,male single,38,skilled,good
999,,existing paid,radio/tv,1845,<100,1<=X<4,male single,23,skilled,bad
1000,,critical/other existing credit,used car,4576,100<=X<500,unemployed,male single,27,skilled,good
